Artist and Title,Country
Kaleb Di Masi - Matatan,Argentina 
Milo j - UNA BALA,Argentina 
YSY A - CUÁL?,Argentina 
TINI - Oye,Argentina 
Bad Bunny - FINA,Argentina 
Rvssian - Santa,Argentina 
Tainy - Adicto,Argentina 
Anuel AA - Baby,Argentina 
ORO600 - Nena Sad,Argentina 
La Pantera - Cayó La Noche,Argentina 
Ozuna - Se Preparó,Argentina 
Mora - 512,Argentina 
Ozuna - Vaina Loca,Argentina 
Yahritza Y Su Esencia - Frágil,Argentina 
Duki - Sin Culpa,Argentina 
Piso 21 - Déjala Que Vuelva,Argentina 
Wisin - Fiel - Remix,Argentina 
Lunay - Soltera (Remix),Argentina 
El Polaco - Ya No Quiero Verte,Argentina 
Nicki Nicole - Colocao,Argentina 
Nicki Nicole - 8 AM,Argentina 
Reik - Me Niego,Argentina 
ROSALÍA - Con Altura,Argentina 
Maria Becerra - LA NENA DE ARGENTINA,Argentina 
Ozuna - Una Locura,Argentina 
Duki - hARAkiRi,Argentina 
Alex Rose - Toda - Remix,Argentina 
FMK - Prende la Cámara,Argentina 
Duki - Malbec,Argentina 
WOS - QUEMARÁS,Argentina 
Damas Gratis - Me Vas a Extrañar - En Vivo,Argentina 
Alan Gomez - BM | Mission 18,Argentina 
Emilia - No_Se_Ve.mp3,Argentina 
Tiago PZK - Traductor,Argentina 
La K'onga - Te Mentiría,Argentina 
C.R.O - INTERESTELAR,Argentina 
Maria Becerra - Felices x Siempre,Argentina 
Shakira - Chantaje,Argentina 
Mau y Ricky - Desconocidos,Argentina 
Trueno - PANAMÁ,Argentina 
El Jordan 23 - Cabaña,Argentina 
Trueno - Sangría,Argentina 
Becky G - Sin Pijama,Argentina 
Jhayco - No Me Conoce - Remix,Argentina 
Nicki Nicole - Sabe,Argentina 
La K'onga - El Mismo Aire,Argentina 
Mora - Volando - Remix,Argentina 
LIT killah - Mala Mía,Argentina 
Omar Varela - EL NEGRO TECLA | Omar Algo Anda Mal #9,Argentina 
WOS - MELÓN VINO,Argentina 
Ed Sheeran - Shape of You,Argentina 
Young Miko - offline,Argentina 
Paulo Londra - Dimelo,Argentina 
LIT killah - Dejame Tranki,Argentina 
Trueno - Hood - Remix,Argentina 
YSY A - PA ESTA SOLEDAD,Argentina 
Tiago PZK - Loco,Argentina 
Luck Ra - Te Mentiría Remix,Argentina 
Emilia - De Enero a Diciembre,Argentina 
"Bizarrap - KHEA: Bzrp Music Sessions, Vol. 34",Argentina 
Duki - aPoLLo13,Argentina 
J Balvin - Poblado - Remix,Argentina 
Milo j - Rincón,Argentina 
Daddy Yankee - Adictiva,Argentina 
Danny Ocean - Me Rehúso,Argentina 
Lali - N5,Argentina 
Bad Bunny - Vete,Argentina 
Sech - Si Te Vas,Argentina 
Nicky Jam - Muévelo,Argentina 
Bad Bunny - Yo Perreo Sola,Argentina 
Paulo Londra - Chica Paranormal,Argentina 
DobleP - Me Escapé,Argentina 
Ed Sheeran - Nothing On You,Argentina 
Sebastian Yatra - Ya No Tiene Novio,Argentina 
J Balvin - LA CANCIÓN,Argentina 
Duki - She Don't Give a Fo,Argentina 
CNCO - Reggaetón Lento (Bailemos),Argentina 
Duki - CALL ME MAYBE,Argentina 
Rauw Alejandro - Tattoo - Remix with Camilo,Argentina 
YSY A - MI CIUDAD,Argentina 
Camilo - Índigo,Argentina 
Duki - Ley de Atracción,Argentina 
Pablito Pesadilla - BABY OTAKU,Argentina 
Måneskin - Beggin',Argentina 
YSY A - SER EL TRAP,Argentina 
Nicki Nicole - qué le pasa conmigo?,Argentina 
DJ Tao - BM | DJ TAO Turreo Sessions #17,Argentina 
Anuel AA - Mas Rica Que Ayer,Argentina 
Taylor Swift - Fortnight,Argentina 
Bad Bunny - La Difícil,Argentina 
Dj Ozuna -,Argentina 
"Bizarrap - Ptazeta: Bzrp Music Sessions, Vol. 45",Argentina 
Bruno LC - BLUNTED 5 - Remix,Argentina 
Feid - CHORRITO PA LAS ANIMAS,Argentina 
Maria Becerra - Confiesalo,Argentina 
YSY A - HERIDAS AL FUEGO,Argentina 
Jere Klein - PRINCESITA DE ...,Argentina 
Emanero - BANDIDO,Argentina 
Trueno - TRANKY FUNKY,Argentina 
Paulo Londra - Solo Pienso En Ti,Argentina 
Ke Personajes - Entre Beso y Beso,Argentina 
Dalex - Bellaquita - Remix,Argentina 
Becky G - Mayores,Argentina 
Milo j - AL BORDE,Argentina 
Bad Bunny - Ignorantes,Argentina 
Duki - don't liE,Argentina 
Rauw Alejandro - Tattoo,Argentina 
LIT killah - Carta de Despedida,Argentina 
Emilia - IConic.mp3,Argentina 
Sech - 911,Argentina 
Tainy - Agua,Argentina 
Anuel AA - Tacos Gucci,Argentina 
Rich Music LTD - Quizas,Argentina 
Duki - 01 dE ENEro,Argentina 
Rombai - Me Voy,Argentina 
J Balvin - Reggaeton,Argentina 
John C - C90 - Remix,Argentina 
Q' Lokura - Cuarteto Sessions #3,Argentina 
Piso 21 - Te Amo,Argentina 
Residente - René,Argentina 
Duki - Midtown,Argentina 
Bad Bunny - Tarot,Argentina 
Ke Personajes - Otro Día Más,Argentina 
Anitta - Downtown,Argentina 
Young Miko - wiggy,Argentina 
KAROL G - MI EX TENÍA RAZÓN,Argentina 
Feid - PORFA,Argentina 
Nicki Nicole - Verte,Argentina 
Feid - Normal,Argentina 
Sky Rompiendo - El Cielo,Argentina 
Bad Bunny - Party,Argentina 
Rich Music LTD - Perreo en La Luna,Argentina 
L-Gante - Pistola Remix,Argentina 
TINI - Carne y Hueso,Argentina 
Duki - Hitboy,Argentina 
Nicky Jam - El Amante,Argentina 
Gorillaz - Tormenta,Argentina 
TINI - Duele,Argentina 
Selena Gomez - Baila Conmigo,Argentina 
Duki - JEFES DEL SUDOESTE,Argentina 
KHEA - Ayer Me Llamó Mi Ex – Remix,Argentina 
Cazzu - Maléfica,Argentina 
Nacho - Báilame - Remix,Argentina 
ECKO - Te Escapas De Mis Brazos - Remix,Argentina 
YSY A - TODO PAGO,Argentina 
Anitta - Envolver,Argentina 
Ñengo Flow - Gato de Noche,Argentina 
Marshmello - El Merengue,Argentina 
Maluma - HP,Argentina 
Paulo Londra - Solo Pienso En Ti,Argentina 
J Balvin - Bonita,Argentina 
"Bizarrap - C.R.O: Bzrp Music Session, Vol. 29",Argentina 
Duki - uNO dOS,Argentina 
KHEA - TU Y YO,Argentina 
The La Planta - Barrio Prendido,Argentina 
Cris Mj - Daytona,Argentina 
Dalex - Cuaderno,Argentina 
Harry Nach - Tak Tiki Tak,Argentina 
KHEA - Loca,Argentina 
Bad Bunny - Después de la Playa,Argentina 
Paulo Londra - Nena Maldicion,Argentina 
Chris Jedi - Ahora Dice,Argentina 
"Bizarrap - Trueno: Bzrp Music Sessions, Vol. 16",Argentina 
Rusherking - Loba,Argentina 
Justin Quiles - Ponte Pa' Mi,Argentina 
"ROSALÍA - Yo x Ti, Tu x Mi",Argentina 
Paulo Londra - Luces,Argentina 
KAROL G - Mi Cama,Argentina 
Shakira - Perro Fiel,Argentina 
Duki - Si Te Sentis Sola,Argentina 
Tiago PZK - ASQUEROSO,Argentina 
Nicki Nicole - CAEN LAS ESTRELLAS,Argentina 
TINI - ni de ti,Argentina 
El Dipy - Par-Tusa,Argentina 
Lolo OG - Azote - Remix,Argentina 
Callejero Fino - Le doy perreo,Argentina 
Alex Sensation - Que Va,Argentina 
iZaak - BBY BOO - REMIX,Argentina 
Blessd - Medallo,Argentina 
Rauw Alejandro - Elegí,Argentina 
The Academy: Segunda Misión - LATTE,Argentina 
KAROL G - EL MAKINON,Argentina 
El negro tecla - Rompe,Argentina 
Bhavi - AEROBICO REMIX,Argentina 
Emilia - La Chain,Argentina 
Enrique Iglesias - ASI ES LA VIDA,Argentina 
"Bizarrap - John C: Bzrp Music Sessions, Vol. 18",Argentina 
Rei - Pininfarina - Remix,Argentina 
TINI - posta,Argentina 
Myke Towers - Diosa,Argentina 
Nicky Jam - Polvo,Argentina 
Lele Pons - Se Te Nota,Argentina 
TINI - ángel,Argentina 
Coldplay - Yellow,Argentina 
Rvssian - Nostálgico,Argentina 
Justin Quiles - DJ No Pare,Argentina 
Luck Ra - Y TE VAS,Argentina 
Jerry Di - Mi Cuarto,Argentina 
Lola Indigo - DISCOTEKA,Argentina 
Justin Bieber - Peaches,Argentina 
Airbag - Por Mil Noches,Argentina 
Sebastian Yatra - Un Año,Argentina 
Olivia Rodrigo - good 4 u,Argentina 
Eugenio Esquivel - Alucin,Argentina 
Tiago PZK - Sex & Love,Argentina 
Gino Mella - El Amor de tu Vida,Argentina 
Jung Kook - Seven,Argentina 
KHEA - Loca Remix,Argentina 
Myke Towers - Explícito,Argentina 
Fer Palacio - Ya No Mas,Argentina 
Tainy - Lo Siento BB:/,Argentina 
"Bizarrap - Frijo: Bzrp Music Sessions, Vol. 10",Argentina 
J Balvin - No Es Justo,Argentina 
Joey Montana - Suena El Dembow,Argentina 
TINI - 22,Argentina 
