Song,Artist Names,Hot100 Rank,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Livin' On A Prayer,Bon Jovi,52,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,249293,4,45.97189,11,1
Money For Nothing,Dire Straits,53,spotify:track:4yqtwO7MQIIXqoiRBPHAgR,0.667,0.655,2,-9.339,0,0.0367,0.0491,0.000894,0.0641,0.657,134.212,506400,4,32.73861,18,1
On My Own,Patti LaBelle & Michael McDonald,54,spotify:track:5HrVgmO1govSOrPUehW1VV,0.62,0.402,5,-12.964,1,0.0264,0.337,6.13e-05,0.312,0.483,92.093,290840,4,45.6611,12,1
Beat It,Michael Jackson,55,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,258040,4,24.64124,9,1
Crazy For You,Madonna,56,spotify:track:6B4oVElDIKRNcNUary0WG7,0.662,0.719,9,-6.606,1,0.0298,0.107,0.0,0.102,0.511,95.001,224320,4,24.17403,12,1
What's Love Got To Do With It,Tina Turner,57,spotify:track:4kOfxxnW1ukZdsNbCKY9br,0.851,0.406,1,-11.631,1,0.0661,0.219,6.41e-06,0.0853,0.792,97.84,226880,4,38.47106,13,1
Rock With You,Michael Jackson,58,spotify:track:7oOOI85fVQvVnK5ynNMdW7,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,220627,4,41.67212,9,1
Separate Lives,Phil Collins and Marilyn Martin,59,spotify:track:6DEFVerhYVJ6ZkPJiPl5Sm,0.32,0.308,4,-9.118,1,0.0318,0.237,0.0,0.319,0.193,93.173,248907,4,48.29476,15,1
I Want To Know What Love Is,Foreigner,60,spotify:track:1JLn8RhQzHz3qDqsChcmBl,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204,304787,4,72.76014,9,1
It's Still Rock And Roll To Me,Billy Joel,61,spotify:track:64UioB4Nmwgn2f4cbIpAkl,0.752,0.684,0,-7.599,1,0.15,0.0994,0.0,0.0897,0.539,141.075,176440,4,23.62939,9,1
Look Away,Chicago,62,spotify:track:2dEVFDQ9Z9Gyl73yhoKl65,0.553,0.545,9,-7.278,1,0.0261,0.385,5.36e-06,0.105,0.201,85.959,242960,4,46.9024,13,1
Footloose,Kenny Loggins,63,spotify:track:6W2VbtvMrDXm5vYeB7amkO,0.546,0.895,9,-7.189,1,0.0579,0.0819,1.42e-05,0.0768,0.494,174.089,220707,4,25.59008,9,1
Against All Odds (Take A Look At Me Now),Phil Collins,64,spotify:track:63CHa6rmamv9OsehkRD8oz,0.58,0.498,1,-6.901,1,0.0277,0.198,0.0,0.132,0.111,116.271,206360,4,36.3576,10,1
Roll With It,Steve Winwood,65,spotify:track:2QlPByrmEO9XciNBXCrawR,0.759,0.645,0,-13.352,1,0.0276,0.07,0.0403,0.0986,0.954,117.254,320733,4,34.02238,17,1
Straight Up,Paula Abdul,66,spotify:track:5xl5582IihbEZAnfj0xyso,0.769,0.826,7,-8.252,1,0.0624,0.267,0.0177,0.0684,0.762,95.862,251467,4,72.24021,10,1
Everybody Wants To Rule The World,Tears For Fears,67,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489,4,44.43636,13,1
We Didn't Start The Fire,Billy Joel,68,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024,287733,4,34.10485,17,1
Nothing's Gonna Stop Us Now,Starship,69,spotify:track:4HbEAwk5eSPUPkIM3zThIR,0.483,0.686,5,-6.331,1,0.0342,0.137,1.7e-06,0.039,0.602,202.193,262867,4,22.51655,14,1
With Or Without You,U2,70,spotify:track:6ADSaE87h8Y3lccZlBJdXH,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,295516,4,69.5375,7,1
The Power Of Love,Huey Lewis & The News,71,spotify:track:2olVm1lHicpveMAo4AUDRB,0.768,0.829,5,-5.109,1,0.0313,0.0964,2.92e-05,0.097,0.962,118.773,234333,4,46.30114,11,1
Greatest Love Of All,Whitney Houston,72,spotify:track:6yJxCltgtmGxIgKOS6ndnu,0.502,0.305,9,-16.011,1,0.0339,0.484,3.55e-06,0.117,0.248,131.242,291400,4,45.83699,15,1
I Just Called To Say I Love You,Stevie Wonder,73,spotify:track:6RNDeRnWsRMjPdNVgupZCs,0.748,0.551,1,-9.054,1,0.0239,0.243,1.57e-06,0.0943,0.65,113.535,262240,4,21.72487,15,1
La Bamba,Los Lobos,74,spotify:track:6uU5OBhGUE1ngSKDj4wtoq,0.348,0.751,0,-12.823,1,0.0494,0.0699,0.000738,0.208,0.886,156.509,172733,4,27.89514,10,1
Suddenly Last Summer,The Motels,75,spotify:track:4fLIM0B1WwrLux9RdnMvze,0.716,0.753,2,-5.682,1,0.0286,0.162,0.0306,0.0831,0.561,120.141,222000,4,57.71583,11,1
Magic,Olivia Newton-John,76,spotify:track:1H5A1GNZUv4eUf1t9RFdid,0.7,0.504,2,-9.494,1,0.0286,0.123,0.000603,0.0924,0.588,103.88,269307,4,83.45964,12,1
One More Try,George Michael,77,spotify:track:5932kbyNt445gDTT2chRUS,0.551,0.291,5,-12.544,1,0.0283,0.434,3.78e-05,0.11,0.0823,119.005,350667,3,26.34592,23,1
"On Our Own (From ""Ghostbusters II"")",Bobby Brown,78,spotify:track:57raEIQFW4OGTIxYvp2nDy,0.656,0.879,2,-6.462,1,0.0444,0.00181,0.0,0.0859,0.474,102.724,289507,4,32.85795,11,1
Gloria,Laura Branigan,79,spotify:track:15ob9SMGLWrexuPuyuMjKl,0.775,0.866,9,-3.598,1,0.0295,0.135,0.0376,0.152,0.876,131.34,295067,4,53.07652,12,1
Hello,Lionel Richie,80,spotify:track:0mHyWYXmmCB9iQyK18m3FQ,0.487,0.246,9,-14.104,0,0.0376,0.414,0.0,0.0983,0.0562,61.084,251107,4,93.08345,7,1
Shout,Tears For Fears,81,spotify:track:2gQaQUhDCNGfBVXTvxAmXQ,0.511,0.942,0,-10.407,1,0.0429,0.174,1.87e-05,0.139,0.498,97.909,393667,4,26.8754,14,1
Right Here Waiting,Richard Marx,82,spotify:track:4LFwNJWoj74Yd71fIr1W8x,0.395,0.252,0,-13.589,1,0.0301,0.8,0.0,0.101,0.126,177.679,264333,4,27.91724,12,1
Woman,John Lennon,83,spotify:track:0GGxVTb0UwDwdaKNjBdCn3,0.588,0.656,3,-6.373,1,0.0224,0.378,0.00227,0.042,0.746,79.701,212933,4,14.90332,13,1
Owner Of A Lonely Heart,Yes,84,spotify:track:0GTK6TesV108Jj5D3MHsYb,0.744,0.798,7,-5.981,1,0.0364,0.175,0.00367,0.26,0.89,125.061,268507,4,75.72887,7,1
Please Don't Go Girl,New Kids On The Block,85,spotify:track:3uWDev1JIiPQgH6FRX5HyM,0.661,0.598,3,-6.967,1,0.0359,0.187,0.0,0.0605,0.653,151.538,247227,4,29.47468,14,1
Lost In Your Eyes,Debbie Gibson,86,spotify:track:6PMDILZiYo4YzMBbE0dGK9,0.482,0.613,7,-7.462,1,0.0295,0.46,0.000856,0.129,0.238,144.46,213000,4,37.19195,11,1
Need You Tonight,INXS,87,spotify:track:5eU8qMd0TpaLqTGDZJaLDs,0.801,0.723,10,-4.985,0,0.0689,0.0713,0.154,0.0675,0.883,109.03,180518,4,39.0766,7,1
Harden My Heart,Quarterflash,88,spotify:track:3CSLUIrI2KPMulHR5bh17O,0.531,0.43,11,-14.523,0,0.0578,0.0568,1.22e-06,0.0964,0.453,124.284,232627,4,59.9926,10,1
Shake You Down,Gregory Abbott,89,spotify:track:7wQ9alB79WZb0F5gFLbxSh,0.787,0.474,11,-10.384,0,0.0265,0.523,0.0,0.235,0.826,94.995,245413,4,22.57103,13,1
We Built This City,Starship,90,spotify:track:6OnfBiiSc9RGKiBKKtZXgQ,0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091,296080,4,33.33526,11,1
Stuck With You,Huey Lewis & The News,91,spotify:track:2cFl7utlqyZjCXN1G5nRvA,0.704,0.544,4,-11.402,0,0.026,0.0873,1.66e-05,0.041,0.628,120.717,269573,4,58.02557,10,1
Party All The Time,Eddie Murphy,92,spotify:track:6N5DRCQUSXT1qQqmqsO92B,0.699,0.696,11,-13.045,1,0.0458,0.0098,0.000345,0.0427,0.673,135.027,253293,4,47.78978,12,1
Never Gonna Give You Up,Rick Astley,93,spotify:track:7GhIk7Il098yCjg4BQjzvb,0.727,0.939,8,-11.855,1,0.0369,0.135,4.35e-05,0.151,0.916,113.33,212827,4,43.0073,9,1
Sweet Child O' Mine,Guns N' Roses,94,spotify:track:7snQQk1zcKl8gZ92AnueZW,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,356067,4,27.51497,11,1
Everytime You Go Away,Paul Young,95,spotify:track:0IpfTMKENGLJcULkMnU8Rb,0.607,0.643,5,-11.493,1,0.0435,0.177,0.000153,0.118,0.715,164.256,321573,4,25.91919,15,1
Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),96,spotify:track:5z3ZDMP02xF33yCvPFnct3,0.401,0.285,11,-11.005,1,0.0327,0.657,1.13e-05,0.158,0.267,130.465,211973,4,50.90012,9,1
Got My Mind Set On You,George Harrison,97,spotify:track:3OeUlriM0EZHdWleJtjoVr,0.767,0.854,4,-6.947,1,0.0426,0.465,2.03e-06,0.485,0.963,149.206,234653,4,18.89341,13,1
9 To 5,Dolly Parton,98,spotify:track:4w3tQBXhn5345eUXDGBWZG,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,162467,4,25.12092,7,1
Rock Me Amadeus,Falco,99,spotify:track:0DfG1ltJnZyq4Tx3ZLL7ZU,0.61,0.817,4,-9.45,0,0.133,0.296,0.00336,0.0884,0.889,176.737,202236,4,19.08299,10,1
Like A Prayer,Madonna,100,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,0.624,0.842,5,-5.285,1,0.0376,0.264,2.11e-05,0.181,0.257,111.037,342680,4,28.22465,15,1
