song,artist,Hot100 Rank,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,song_id,genre,streams
ESCAPADE,JANET JACKSON,49,spotify:track:5HAv1Ckfe50DUjv8ghwTrz,0.806,0.954,1,-6.741,1,0.0514,0.0259,0.000617,0.176,0.701,115.229,283934,4,31.86347,13,5HAv1Ckfe50DUjv8ghwTrz,pop,336106.0
NO DIGGITY,BLACKSTREET (FEATURING DR. DRE),50,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,0.868,0.646,1,-4.674,0,0.288,0.303,0.0,0.284,0.67,88.641,304600,4,46.92651,13,6MdqqkQ8sSC0WB4i8PyRuQ,pop,325091.0
SHE'S PLAYING HARD TO GET,HI-FIVE,51,spotify:track:3xRbymJj98leHL7K8Y94WS,0.525,0.811,1,-6.148,1,0.0602,0.00847,0.0,0.266,0.751,199.977,276573,4,41.06696,9,3xRbymJj98leHL7K8Y94WS,pop,331251.0
POISON,BELL BIV DEVOE,52,spotify:track:6m59VvDUi0UQsB2eZ9wVbH,0.84,0.56,6,-10.53,0,0.21,0.00195,0.00417,0.633,0.775,111.815,261853,4,38.13758,13,6m59VvDUi0UQsB2eZ9wVbH,pop,296230.0
GROOVIN',UB40,53,spotify:track:3hy7Mc96hdAA2eXGDCs7zW,0.817,0.561,2,-13.311,1,0.0539,0.00204,0.00879,0.0421,0.904,99.02,229973,4,40.30897,12,3hy7Mc96hdAA2eXGDCs7zW,reggae,264428.0
EMOTIONS,MARIAH CAREY,54,spotify:track:0cELvuwJW1acISUHYB6suj,0.741,0.752,9,-7.009,0,0.0359,0.0411,0.0012,0.0233,0.942,114.851,248093,4,35.45986,11,0cELvuwJW1acISUHYB6suj,pop,337383.0
QUIT PLAYING GAMES (WITH MY HEART),BACKSTREET BOYS,55,spotify:track:1nRwyxNsqCLeA17qR8Nfxx,0.8,0.875,11,-4.952,0,0.0338,0.0615,2.79e-06,0.13,0.882,100.033,233533,4,36.32249,10,1nRwyxNsqCLeA17qR8Nfxx,pop,95798.0
NO SCRUBS,TLC,56,spotify:track:1KGi9sZVMeszgZOWivFpxs,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4,21.44277,8,1KGi9sZVMeszgZOWivFpxs,pop,10229846.0
DREAMLOVER,MARIAH CAREY,57,spotify:track:6HcQZfMrw3KwGyzrKw1Pjy,0.701,0.705,5,-6.18,1,0.0357,0.18,0.0,0.141,0.71,100.669,232960,4,35.79226,12,6HcQZfMrw3KwGyzrKw1Pjy,pop,348773.0
OPPOSITES ATTRACT,PAULA ABDUL (DUET WITH THE WILD PAIR),58,spotify:track:7z38bideBRvGAgjXe2SECm,0.783,0.842,1,-8.838,1,0.054,0.0337,2.57e-06,0.0519,0.933,117.79,265373,4,25.97184,12,7z38bideBRvGAgjXe2SECm,rock,1099610.0
THE FIRST NIGHT,MONICA,59,spotify:track:5rWzxloNXvbRPhlC1O2b6T,0.671,0.766,1,-9.218,0,0.0634,0.139,0.0,0.26,0.906,152.088,235573,4,30.28588,12,5rWzxloNXvbRPhlC1O2b6T,r&b,225831.0
NOBODY'S SUPPOSED TO BE HERE,DEBORAH COX,60,spotify:track:51QxenFmXlJXUN9mpvxlaL,0.662,0.531,8,-5.3,1,0.0361,0.202,1.16e-05,0.595,0.399,119.957,262333,4,89.70109,11,51QxenFmXlJXUN9mpvxlaL,pop,348001.0
TORN,NATALIE IMBRUGLIA,61,spotify:track:0KDaN0HL3TcJVTbXlQCEsS,0.575,0.886,5,-5.182,1,0.034,0.0647,0.000187,0.709,0.608,96.308,244667,4,23.63062,10,0KDaN0HL3TcJVTbXlQCEsS,pop,307868.0
TWISTED,KEITH SWEAT,62,spotify:track:69QIVIjPMnI1ABLBqh9P1b,0.615,0.514,11,-9.759,1,0.0466,0.393,0.0,0.248,0.822,175.849,260667,4,47.70674,11,69QIVIjPMnI1ABLBqh9P1b,r&b,201420.0
I LOVE YOU ALWAYS FOREVER,DONNA LEWIS,63,spotify:track:1PEqh7awkpuepLBSq8ZwqD,0.744,0.453,5,-11.977,1,0.0348,0.627,0.421,0.0898,0.122,103.773,239960,4,39.67888,9,1PEqh7awkpuepLBSq8ZwqD,pop,27156.0
BELIEVE,CHER,64,spotify:track:2goLsvvODILDzeeiT4dAoR,0.652,0.917,6,-6.72,1,0.0548,0.0082,0.0,0.0509,0.459,132.975,239027,4,29.73277,9,2goLsvvODILDzeeiT4dAoR,pop,159551.0
KISS FROM A ROSE,SEAL,65,spotify:track:3YKptz29AsOlm7WAVnztBh,0.583,0.532,10,-7.11,0,0.0309,0.684,0.0,0.306,0.223,131.741,288427,3,24.39038,15,3YKptz29AsOlm7WAVnztBh,pop,64759.0
I'M YOUR ANGEL,R. KELLY & CELINE DION,66,spotify:track:0QWFiyhOqFu9RP8qzP6z5L,0.62,0.504,0,-7.26,1,0.0301,0.669,0.0,0.11,0.266,112.681,332067,4,40.28712,10,0QWFiyhOqFu9RP8qzP6z5L,pop,347584.0
BEAUTY AND THE BEAST,CELINE DION AND PEABO BRYSON,67,spotify:track:7B3UAPLYAbwXVgbHSKEaTw,0.463,0.4,6,-9.999,0,0.0308,0.643,2.46e-05,0.131,0.121,77.314,249240,4,39.6763,9,7B3UAPLYAbwXVgbHSKEaTw,pop,338457.0
BABY BABY,AMY GRANT,68,spotify:track:3IDsegNBHC4pjGCOMTQYlU,0.702,0.901,1,-4.45,1,0.0264,0.426,0.00153,0.0368,0.919,97.862,236973,4,38.92013,9,3IDsegNBHC4pjGCOMTQYlU,pop,333362.0
THAT'S THE WAY LOVE GOES,JANET JACKSON,69,spotify:track:29rQJydAlO0uMyWvRIZxQg,0.703,0.7,5,-6.789,1,0.0693,0.302,0.471,0.0718,0.582,97.675,265107,4,35.34871,9,29rQJydAlO0uMyWvRIZxQg,pop,304542.0
WHERE MY GIRLS AT?,702,70,spotify:track:4VSyH8AkIt3kaR5xIPFVVi,0.704,0.725,4,-7.435,1,0.0505,0.0348,0.0163,0.194,0.761,92.183,166693,4,26.95184,7,4VSyH8AkIt3kaR5xIPFVVi,r&b,197063.0
ALL THAT SHE WANTS,ACE OF BASE,71,spotify:track:6kWJvPfC4DgUpRsXKNa9z9,0.798,0.625,11,-9.689,1,0.0548,0.00547,7.98e-05,0.103,0.858,93.764,211213,4,29.04853,10,6kWJvPfC4DgUpRsXKNa9z9,pop,69698.0
JUSTIFY MY LOVE,MADONNA,72,spotify:track:6BWRvw630R8z2vNMok6quI,0.705,0.821,1,-7.085,1,0.128,0.00244,0.684,0.0572,0.456,99.642,294267,4,22.39246,13,6BWRvw630R8z2vNMok6quI,pop,297177.0
BLAZE OF GLORY (FROM YOUNG GUNS II),JON BON JOVI,73,spotify:track:1sUTfgduT0WIQO8kXKXxLC,0.547,0.62,7,-9.823,1,0.0309,0.0564,2.49e-05,0.0937,0.426,78.598,335240,4,41.18194,14,1sUTfgduT0WIQO8kXKXxLC,rock,1252004.0
HOW AM I SUPPOSED TO LIVE WITHOUT YOU,MICHAEL BOLTON,74,spotify:track:3RMeOetCdXttthQK0clPuz,0.541,0.44,10,-12.206,1,0.031,0.191,0.0,0.114,0.232,140.273,255667,4,35.1788,13,3RMeOetCdXttthQK0clPuz,rock,19292.0
BABY GOT BACK,SIR MIX-A-LOT,75,spotify:track:1SAkL1mYNJlaqnBQxVZrRl,0.926,0.669,1,-11.271,1,0.301,0.0051,0.0,0.0887,0.642,128.462,262827,4,33.2001,12,1SAkL1mYNJlaqnBQxVZrRl,hip hop,272760.0
SOMEDAY,MARIAH CAREY,76,spotify:track:6TSM5vkz0WzyZsNAKKYDcw,0.685,0.819,1,-8.686,0,0.0405,0.206,2.23e-06,0.0251,0.937,109.855,246107,4,25.79109,11,6TSM5vkz0WzyZsNAKKYDcw,pop,295979.0
HERO,MARIAH CAREY,77,spotify:track:4FCb4CUbFCMNRkI6lYc1zI,0.501,0.378,4,-9.37,1,0.029,0.735,0.0,0.119,0.178,119.987,257733,4,36.66103,11,4FCb4CUbFCMNRkI6lYc1zI,pop,40431.0
LET'S FORGET ABOUT IT,LISA LOEB,78,spotify:track:213nuIc0gDT2ZzmPF4PwSo,0.687,0.789,0,-5.038,1,0.0308,0.488,5.9e-05,0.115,0.634,100.092,165867,4,29.95842,7,213nuIc0gDT2ZzmPF4PwSo,pop,295164.0
THIS IS HOW WE DO IT,MONTELL JORDAN,79,spotify:track:6uQKuonTU8VKBz5SHZuQXD,0.799,0.623,0,-9.374,1,0.0812,0.0141,0.0,0.43,0.773,103.649,238800,4,34.36407,6,6uQKuonTU8VKBz5SHZuQXD,r&b,41481.0
I ADORE MI AMOR,COLOR ME BADD,80,spotify:track:05R2lE5g9hnaSmxIrUl3C0,0.683,0.476,3,-9.995,0,0.027,0.243,0.0,0.0786,0.725,91.989,289200,4,31.03699,10,05R2lE5g9hnaSmxIrUl3C0,pop,326055.0
ALL THE MAN THAT I NEED,WHITNEY HOUSTON,81,spotify:track:07M76e7IXxYdnC1BBiJxEX,0.496,0.571,5,-9.958,0,0.0335,0.43,0.0,0.0332,0.25,150.944,251427,4,57.65932,10,07M76e7IXxYdnC1BBiJxEX,pop,312957.0
